ACFC-700,
X,Y
0.0139 , 7.7254
0.0395 , 9.3753
0.0651 , 10.0600
0.0901 , 10.4183
0.1163 , 10.9122
0.1418 , 11.3446
0.1674 , 11.6758
0.1930 , 11.9885
0.2185 , 12.1787
0.2441 , 12.6313
0.2696 , 12.8555
0.2952 , 13.0571
0.3208 , 13.2819
0.3463 , 13.5676
0.3719 , 13.5960
0.3966 , 13.8782
0.4246 , 14.1275
0.4502 , 14.2014
0.4766 , 14.3651
0.5025 , 14.6004
0.5284 , 14.5987
0.5544 , 14.8121
0.5782 , 14.6830
0.6046 , 14.8663
0.6309 , 14.8704
0.6567 , 15.2038
0.6813 , 15.3636
0.7073 , 15.4679
0.7325 , 15.8828
0.7616 , 15.9165
0.7892 , 16.1408
0.8134 , 16.2399
0.8361 , 16.2917
0.8639 , 16.5297
0.8897 , 16.9898
0.9155 , 16.9854
0.9398 , 17.2895
0.9661 , 17.7600
0.9877 , 18.2127
