ACFC-1000,
X,Y
0.0044 , 18.0915
0.0104 , 19.9470
0.0144 , 20.8748
0.0219 , 21.9351
0.0274 , 22.6640
0.0394 , 23.7243
0.0499 , 24.1219
0.0604 , 24.5195
0.0788 , 24.7184
0.0998 , 25.1160
0.1198 , 25.3148
0.1397 , 25.4473
0.1597 , 25.5136
0.1792 , 25.7124
0.2001 , 25.7787
0.2206 , 25.9112
0.2405 , 26.1763
0.2595 , 26.2425
0.2800 , 26.2425
0.2994 , 26.3088
0.3204 , 26.3751
0.3404 , 26.6402
0.3598 , 26.7064
0.3798 , 26.7064
0.3992 , 26.8390
0.4197 , 26.9715
0.4392 , 27.0378
0.4601 , 27.1703
0.4796 , 27.3028
0.4990 , 27.3691
0.5195 , 27.4354
0.5400 , 27.5017
0.5599 , 27.6342
0.5804 , 27.7667
0.5989 , 27.8330
0.6193 , 27.9655
0.6393 , 28.0981
0.6597 , 28.0981
0.6792 , 28.2969
0.6987 , 28.1643
0.7096 , 28.2969
0.7196 , 28.3632
0.7301 , 28.4294
0.7386 , 28.6945
0.7496 , 28.6945
0.7591 , 28.8270
0.7690 , 28.9596
0.7790 , 29.2247
0.7890 , 29.1584
0.7995 , 29.2909
0.8090 , 29.6223
0.8299 , 29.7548
0.8394 , 29.8211
0.8489 , 30.0861
0.8584 , 30.0861
0.8689 , 30.1524
0.8788 , 30.2850
0.8888 , 30.2850
0.8988 , 30.5500
0.9088 , 30.6163
0.9193 , 30.7488
0.9293 , 30.8814
0.9392 , 31.0139
0.9487 , 31.0802
0.9592 , 31.2790
0.9722 , 31.5441
0.9812 , 31.9417
0.9897 , 32.3393
