ACFC-800,
X,Y
0.9963 , 65.2750
0.9723 , 64.6123
0.9399 , 64.6123
0.9324 , 64.6123
0.8920 , 64.4798
0.8591 , 64.4798
0.8391 , 64.4135
0.8162 , 64.3472
0.7677 , 64.2810
0.7378 , 64.2810
0.6984 , 64.2147
0.6475 , 64.1484
0.5991 , 64.0159
0.5487 , 64.0159
0.5098 , 63.8834
0.4648 , 63.7508
0.4584 , 63.7508
0.4209 , 63.7508
0.3920 , 63.6183
0.3830 , 63.6846
0.3715 , 63.5520
0.3605 , 63.4858
0.3501 , 63.4858
0.3356 , 63.2869
0.3221 , 63.2869
0.3111 , 63.2869
0.3032 , 63.2869
0.2897 , 63.0881
0.2807 , 63.1544
0.2702 , 63.1544
0.2612 , 63.0219
0.2513 , 62.8893
0.2398 , 62.7568
0.2253 , 62.6243
0.2123 , 62.5580
0.2008 , 62.4917
0.1909 , 62.3592
0.1804 , 62.2266
0.1609 , 62.0278
0.1504 , 62.0278
0.1405 , 62.0278
0.1300 , 61.8290
0.1210 , 61.7628
0.1115 , 61.4314
0.1005 , 61.1663
0.0900 , 61.0338
0.0806 , 60.9675
0.0701 , 60.5036
0.0601 , 60.3711
0.0501 , 59.9072
0.0396 , 59.3771
0.0296 , 58.9132
0.0171 , 57.5215
0.0091 , 56.4612
