ACFC-800,
X,Y
0.0400 , 59.0361
0.0600 , 59.9278
0.0800 , 60.6867
0.1000 , 61.1967
0.1200 , 61.5135
0.1400 , 61.8015
0.1600 , 62.0800
0.1800 , 62.3117
0.2000 , 62.5026
0.2200 , 62.6751
0.2400 , 62.8366
0.2600 , 62.9877
0.2800 , 63.1253
0.3000 , 63.2460
0.3200 , 63.3528
0.3400 , 63.4498
0.3600 , 63.5296
0.3800 , 63.5834
0.4000 , 63.6184
0.4200 , 63.6471
0.4400 , 63.6797
0.4600 , 63.7260
0.4800 , 63.7758
0.5000 , 63.8110
0.5200 , 63.8396
0.5400 , 63.8713
0.5600 , 63.8993
0.5800 , 63.9141
0.6000 , 63.9299
0.6200 , 63.9765
0.6400 , 64.0546
0.6600 , 64.1252
0.6800 , 64.1533
0.7000 , 64.1319
0.7200 , 64.1036
0.7400 , 64.1095
0.7600 , 64.1641
0.7800 , 64.2399
0.8000 , 64.3136
0.8200 , 64.3662
0.8400 , 64.4013
0.8600 , 64.4201
0.8800 , 64.4247
0.9000 , 64.4265
0.9200 , 64.4681
0.9400 , 64.6037
0.9600 , 64.7514
0.0242 , 58.5043
0.0101 , 56.5161
