ACFC-1000,
X,Y
0.0200 , 21.2411
0.0400 , 23.2185
0.0600 , 24.1622
0.0800 , 24.6050
0.1000 , 24.9709
0.1200 , 25.1773
0.1400 , 25.3019
0.1600 , 25.4027
0.1800 , 25.5352
0.2000 , 25.6702
0.2200 , 25.7443
0.2400 , 25.8570
0.2600 , 25.9575
0.2800 , 26.0912
0.3000 , 26.2190
0.3200 , 26.3476
0.3400 , 26.4569
0.3600 , 26.5092
0.3800 , 26.6334
0.4000 , 26.6754
0.4200 , 26.6727
0.4400 , 26.7905
0.4600 , 26.9544
0.4800 , 27.1047
0.5000 , 27.2175
0.5200 , 27.2789
0.5400 , 27.3883
0.5600 , 27.4746
0.5800 , 27.5707
0.6000 , 27.7030
0.6200 , 27.8106
0.6400 , 27.9590
0.6600 , 28.0601
0.6800 , 28.1817
0.7000 , 28.2701
0.7200 , 28.3447
0.7400 , 28.5450
0.7600 , 28.7990
0.7800 , 29.0133
0.8000 , 29.3247
0.8200 , 29.5136
0.8400 , 29.6162
0.8600 , 29.8802
0.8800 , 30.1158
0.9000 , 30.3283
0.9200 , 30.5815
0.9400 , 30.8540
0.9600 , 31.1247
0.9752 , 31.4461
0.9902 , 32.1074
0.0268 , 22.4177
0.0087 , 20.0320
0.0037 , 18.3080
