ACFC-900,
X,Y
0.9907 , 59.4433
0.9682 , 59.3108
0.9568 , 59.0457
0.9368 , 58.9795
0.9089 , 58.7806
0.8974 , 58.6481
0.8764 , 58.4493
0.8385 , 58.3168
0.8085 , 57.9854
0.7971 , 57.9192
0.7696 , 57.7203
0.7571 , 57.7203
0.7292 , 57.5215
0.7182 , 57.5878
0.7082 , 57.3890
0.6977 , 57.2565
0.6778 , 57.1239
0.6588 , 57.0577
0.6384 , 56.9251
0.6184 , 56.7263
0.5984 , 56.7263
0.5785 , 56.4612
0.5590 , 56.3287
0.5390 , 56.1962
0.5191 , 56.1299
0.4991 , 55.8648
0.4787 , 55.7985
0.4597 , 55.6660
0.4387 , 55.4672
0.4193 , 55.3347
0.3993 , 55.2021
0.3788 , 55.0033
0.3589 , 54.8045
0.3394 , 54.6057
0.3199 , 54.4069
0.2995 , 54.2081
0.2795 , 53.9430
0.2601 , 53.7442
0.2401 , 53.5454
0.2196 , 53.2803
0.2002 , 52.8827
0.1802 , 52.6176
0.1602 , 52.2200
0.1403 , 51.8224
0.1208 , 51.2922
0.0988 , 50.6958
0.0783 , 49.9669
0.0589 , 49.1054
0.0479 , 48.5089
0.0389 , 47.9125
0.0259 , 46.5871
0.0204 , 45.5268
0.0149 , 44.6653
0.0098 , 43.3400
0.0053 , 41.6170
