CA2,
X,Y
0.0094 , 224.2687
0.0296 , 249.3685
0.0547 , 273.7496
0.0878 , 297.9019
0.1203 , 313.2845
0.1529 , 329.5270
0.1854 , 343.2955
0.2180 , 353.5843
0.2505 , 366.5875
0.2830 , 378.7007
0.3156 , 388.1886
0.3481 , 399.0381
0.3807 , 410.8893
0.4132 , 420.7607
0.4478 , 429.3716
0.4783 , 437.0610
0.5109 , 445.0569
0.5434 , 454.6486
0.5760 , 463.6916
0.6085 , 470.1182
0.6410 , 479.4637
0.6736 , 487.5278
0.7061 , 491.7702
0.7387 , 503.8339
0.7712 , 512.5654
0.8038 , 525.4700
0.8363 , 537.4635
0.8689 , 549.5576
0.9014 , 568.6623
0.9367 , 587.0380
0.9614 , 602.4549
0.9805 , 634.8009
0.9950 , 650.0901
