CA6,
X,Y
0.9924 , 722.1046
0.9621 , 656.4527
0.9401 , 635.2747
0.8983 , 603.5076
0.8498 , 563.2694
0.7997 , 529.3845
0.7018 , 473.7922
0.6017 , 427.2005
0.4962 , 386.9623
0.4507 , 371.6082
0.3945 , 353.6069
0.3467 , 336.6645
0.2974 , 320.2515
0.2473 , 303.3091
0.1995 , 287.4255
0.1457 , 268.8948
0.1009 , 249.8345
0.0508 , 224.9504
0.0303 , 209.0668
0.0197 , 203.2429
0.0114 , 189.4772
0.0038 , 178.3587
0.0030 , 166.1813
