CA3,
X,Y
0.0095 , 210.7108
0.0227 , 237.3751
0.0450 , 253.3749
0.0605 , 270.5289
0.0898 , 288.9772
0.1207 , 305.1173
0.1492 , 317.1757
0.1834 , 333.9534
0.2159 , 345.5771
0.2464 , 356.4402
0.2790 , 372.7806
0.3075 , 376.0052
0.3554 , 410.0566
0.3868 , 422.2698
0.4219 , 426.0764
0.4523 , 437.9610
0.4844 , 449.2822
0.5170 , 459.8380
0.5495 , 470.6163
0.5821 , 481.0832
0.6146 , 489.9482
0.6472 , 500.4595
0.6797 , 509.8140
0.7122 , 517.0622
0.7448 , 527.5884
0.7773 , 537.3878
0.8099 , 547.6767
0.8424 , 560.7243
0.8741 , 576.2310
0.9100 , 598.2727
0.9315 , 623.4682
0.9580 , 641.1306
0.9833 , 671.3924
0.9923 , 688.4764
