CA4,
X,Y
0.9917 , 833.2892
0.9613 , 763.9312
0.9370 , 737.4586
0.8968 , 694.5731
0.8467 , 647.9815
0.7989 , 605.0960
0.6995 , 539.9735
0.5994 , 491.2641
0.4977 , 450.4964
0.4537 , 433.5539
0.3983 , 412.9054
0.3505 , 396.4924
0.2997 , 376.9027
0.2489 , 358.9014
0.1988 , 340.3706
0.1480 , 317.6042
0.1009 , 294.8379
0.0493 , 259.8941
0.0296 , 238.7161
0.0205 , 230.2449
0.0144 , 216.4792
0.0076 , 204.3018
