K82,
X,Y
0.0012 , 215.5880
0.0000 , 236.1774
-0.0012 , 248.9238
-0.0012 , 260.6885
-0.0012 , 273.4336
0.0000 , 289.1186
0.0025 , 313.6260
0.0037 , 328.3307
0.0037 , 340.0954
0.0050 , 350.8785
0.0074 , 358.7192
0.0099 , 373.4226
0.0198 , 405.7659
0.0297 , 420.4620
0.0396 , 438.0994
0.0495 , 451.8152
0.0606 , 466.5101
0.0718 , 479.2443
0.0842 , 490.0165
0.0928 , 499.8119
0.1040 , 510.5853
0.2042 , 578.1341
0.2995 , 627.0603
0.4047 , 662.2513
0.5037 , 698.4287
0.6064 , 729.7005
0.7042 , 760.9772
0.8045 , 790.2907
0.9059 , 821.5638
0.9988 , 850.8845
