K82,
X,Y
0.0800 , 485.0595
0.1000 , 502.6507
0.1200 , 516.3291
0.1400 , 533.2802
0.1600 , 550.5260
0.1800 , 565.0888
0.2000 , 580.7734
0.2200 , 584.1008
0.2400 , 595.3287
0.2600 , 606.4003
0.2800 , 613.3452
0.3000 , 623.2133
0.3200 , 631.5061
0.3400 , 641.2622
0.3600 , 650.9235
0.3800 , 658.9323
0.4000 , 661.9211
0.4200 , 666.6019
0.4400 , 675.0396
0.4600 , 682.8570
0.4800 , 689.3397
0.5000 , 696.2835
0.5200 , 702.7674
0.5400 , 709.3324
0.5600 , 717.6138
0.5800 , 725.3221
0.6000 , 729.1982
0.6200 , 733.1368
0.6400 , 740.1371
0.6600 , 747.9420
0.6800 , 754.9712
0.7000 , 759.6256
0.7200 , 764.1192
0.7400 , 770.9360
0.7600 , 778.7244
0.7800 , 786.1331
0.9988 , 851.8649
0.9084 , 821.5613
0.8936 , 819.6151
0.8564 , 805.9260
0.8304 , 799.0888
0.8045 , 790.2907
0.0705 , 477.2848
0.0619 , 465.5285
0.0532 , 451.8115
0.0421 , 438.0970
0.0322 , 423.4008
0.0272 , 407.7194
0.0111 , 375.3822
0.0074 , 360.6800
0.0050 , 343.0353
0.0037 , 329.3111
0.0037 , 315.5856
0.0000 , 293.0402
0.0012 , 271.4703
0.0000 , 247.9421
0.0000 , 237.1578
-0.0012 , 216.5708
