D3065011,
X,Y
0.0200 , 6.4748
0.0400 , 6.8293
0.0600 , 7.0417
0.0800 , 7.2103
0.1000 , 7.2950
0.1200 , 7.3611
0.1400 , 7.4664
0.1600 , 7.5764
0.1800 , 7.6523
0.2000 , 7.6981
0.2200 , 7.7269
0.2400 , 7.7563
0.2600 , 7.8009
0.2800 , 7.8610
0.3000 , 7.9271
0.3200 , 7.9664
0.3400 , 7.9697
0.3600 , 7.9948
0.3800 , 8.0785
0.4000 , 8.1689
0.4200 , 8.2093
0.4400 , 8.1792
0.4600 , 8.0980
0.4800 , 8.0287
0.5000 , 8.0227
0.5200 , 8.0634
0.5400 , 8.1152
0.5600 , 8.1652
0.5800 , 8.2113
0.6000 , 8.2516
0.6200 , 8.2895
0.6400 , 8.3199
0.6600 , 8.3345
0.6800 , 8.3378
0.7000 , 8.3398
0.7800 , 8.3542
0.8200 , 8.3864
0.8400 , 8.4199
0.8800 , 8.4936
0.9000 , 8.5298
0.9400 , 8.7269
0.9883 , 9.1152
0.9664 , 8.7156
0.9116 , 8.5137
0.8548 , 8.4112
0.7970 , 8.3585
0.7482 , 8.2564
0.7681 , 8.3073
0.7173 , 8.3047
