D3065011,
X,Y
0.9903 , 9.1153
0.9674 , 8.8153
0.9395 , 8.6147
0.9126 , 8.5635
0.8857 , 8.4127
0.8538 , 8.4111
0.8229 , 8.4096
0.7960 , 8.3585
0.7671 , 8.3072
0.7482 , 8.2564
0.7173 , 8.2549
0.6885 , 8.2037
0.6616 , 8.2023
0.6406 , 8.2013
0.6078 , 8.2495
0.5869 , 8.0990
0.5610 , 8.1475
0.5371 , 8.0965
0.5112 , 8.0952
0.4873 , 8.0940
0.4554 , 8.0924
0.4345 , 8.0416
0.4036 , 7.9902
0.3797 , 7.9890
0.3568 , 7.9879
0.3289 , 7.9865
0.3060 , 7.9355
0.2801 , 7.8346
0.2582 , 7.8833
0.2333 , 7.7825
0.2084 , 7.7812
0.1785 , 7.6303
0.1526 , 7.5294
0.1287 , 7.5282
0.0998 , 7.3773
0.0749 , 7.1768
0.0619 , 7.1264
0.0520 , 7.0262
0.0410 , 6.8763
0.0330 , 6.7762
0.0231 , 6.6761
0.0141 , 6.4266
0.0071 , 6.1772
