D9065011,
X,Y
0.0400 , 6.5651
0.0600 , 6.8600
0.0800 , 7.0690
0.1000 , 7.2948
0.1200 , 7.5106
0.1400 , 7.6959
0.1600 , 7.8518
0.1800 , 7.9830
0.2000 , 8.0985
0.2200 , 8.2012
0.2400 , 8.3000
0.2600 , 8.3981
0.2800 , 8.4995
0.3000 , 8.6037
0.3200 , 8.7094
0.3400 , 8.8069
0.3600 , 8.8876
0.3800 , 8.9485
0.4000 , 9.0008
0.4200 , 9.0581
0.4400 , 9.1313
0.4600 , 9.2176
0.4800 , 9.3086
0.5000 , 9.3923
0.5200 , 9.4707
0.5400 , 9.5353
0.5600 , 9.5863
0.5800 , 9.6132
0.6000 , 9.6250
0.6200 , 9.6326
0.6400 , 9.6484
0.6600 , 9.6791
0.6800 , 9.7183
0.7000 , 9.7638
0.7200 , 9.8097
0.7400 , 9.8588
0.7600 , 9.9058
0.7800 , 9.9564
0.8000 , 10.0181
0.8200 , 10.0826
0.8400 , 10.1396
0.8600 , 10.1819
0.8800 , 10.2277
0.9000 , 10.2903
0.9200 , 10.4053
0.9400 , 10.5163
0.9644 , 10.6084
0.9893 , 11.1576
