D3065013,
X,Y
0.0034 , 15.2928
0.0013 , 14.1968
0.0013 , 13.1009
0.0013 , 12.0549
0.0023 , 11.1085
0.0074 , 16.3889
0.0264 , 19.7772
0.0404 , 21.2722
0.0543 , 22.2692
0.0643 , 22.7180
0.0833 , 24.0141
0.0893 , 24.3133
0.0972 , 24.5628
0.1162 , 25.6596
0.1281 , 26.2081
0.1511 , 27.1557
0.1750 , 28.1532
0.2009 , 28.9515
0.2328 , 30.0490
0.2538 , 30.6976
0.2976 , 31.5964
0.4052 , 33.1460
0.4172 , 33.2960
0.4939 , 33.8976
0.5128 , 34.0978
0.5566 , 34.3490
0.6294 , 34.8508
0.6702 , 35.0521
0.7270 , 35.4534
0.7469 , 35.6536
0.8216 , 36.1555
0.8585 , 36.3566
0.9312 , 36.8583
0.9481 , 36.9588
0.9691 , 37.2089
0.9960 , 37.5091
