D9075013,
X,Y
0.0200 , 8.6580
0.0400 , 9.0187
0.0600 , 9.3842
0.0800 , 9.8232
0.1000 , 10.2624
0.1200 , 10.6790
0.1400 , 11.0745
0.1600 , 11.4387
0.1800 , 11.7931
0.2000 , 12.1036
0.2200 , 12.4173
0.2400 , 12.7441
0.2600 , 13.0797
0.2800 , 13.4377
0.3000 , 13.7841
0.3200 , 14.0694
0.3400 , 14.3277
0.3600 , 14.5707
0.3800 , 14.8253
0.4000 , 15.0955
0.4200 , 15.3795
0.4400 , 15.5930
0.4600 , 15.7429
0.4800 , 15.8552
0.5000 , 15.9572
0.5200 , 16.0783
0.5400 , 16.2266
0.5600 , 16.3686
0.5800 , 16.4797
0.6000 , 16.5467
0.6200 , 16.5841
0.6400 , 16.6161
0.6600 , 16.6566
0.6800 , 16.7099
0.7000 , 16.7867
0.7200 , 16.8704
0.7400 , 16.9352
0.7600 , 16.9862
0.7800 , 17.0293
0.8000 , 17.0701
0.8200 , 17.1075
0.8400 , 17.1397
0.9825 , 18.4798
0.9616 , 17.6818
0.9257 , 17.4309
0.8889 , 17.2796
0.8560 , 17.1286
