D3065013,
X,Y
0.0800 , 23.7443
0.1000 , 25.0318
0.1200 , 25.7637
0.1400 , 26.6893
0.1600 , 27.6188
0.1800 , 28.3744
0.2000 , 29.0545
0.2200 , 29.7022
0.2400 , 30.2935
0.2600 , 30.8163
0.2800 , 31.2502
0.3000 , 31.6668
0.3200 , 32.0617
0.3400 , 32.4185
0.3600 , 32.7420
0.3800 , 33.0021
0.4000 , 33.1915
0.4200 , 33.3430
0.4400 , 33.4887
0.4600 , 33.6809
0.4800 , 33.8718
0.5000 , 34.0898
0.5200 , 34.2303
0.5400 , 34.4562
0.5600 , 34.6041
0.5800 , 34.7231
0.6000 , 34.8266
0.6200 , 34.9471
0.6400 , 35.0563
0.6600 , 35.1818
0.6800 , 35.2997
0.7000 , 35.3781
0.7200 , 35.4259
0.7400 , 35.4711
0.7600 , 35.6162
0.7800 , 35.7829
0.8000 , 35.9526
0.8200 , 36.1416
0.8400 , 36.2832
0.8600 , 36.4389
0.8800 , 36.5645
0.9000 , 36.6570
0.9200 , 36.7822
0.9400 , 37.0015
0.0643 , 22.8176
0.0553 , 22.1696
0.0434 , 21.4218
0.0344 , 20.6244
0.0254 , 19.7771
0.0194 , 18.9798
0.0124 , 17.9334
0.0074 , 16.3391
0.0034 , 15.2928
0.0013 , 14.1968
0.0013 , 13.1009
0.0013 , 12.0549
0.0023 , 11.1085
0.9701 , 37.2090
0.9960 , 37.5590
