D3055011,
X,Y
0.9762 , 6.0262
0.9284 , 5.5257
0.8965 , 5.3747
0.8398 , 5.2722
0.7940 , 5.1703
0.7451 , 5.2177
0.6953 , 5.2152
0.6495 , 5.1133
0.6177 , 5.0619
0.5689 , 5.1093
0.5071 , 5.0564
0.4941 , 5.0557
0.4852 , 5.0055
0.4673 , 5.0046
0.4543 , 4.9043
0.4384 , 5.0032
0.4224 , 4.9525
0.4025 , 4.9017
0.3846 , 4.9009
0.3706 , 4.9002
0.3517 , 4.8494
0.3358 , 4.8486
0.3169 , 4.8477
0.3019 , 4.8469
0.2860 , 4.8461
0.2671 , 4.8452
0.2501 , 4.7945
0.2282 , 4.7934
0.2143 , 4.7927
0.1943 , 4.7419
0.1774 , 4.6913
0.1575 , 4.6405
0.1396 , 4.6894
0.1186 , 4.4891
0.1007 , 4.4882
0.0828 , 4.4375
0.0619 , 4.3368
0.0429 , 4.2363
0.0240 , 4.1357
