D9065013,
X,Y
0.0800 , 16.7491
0.1000 , 17.5256
0.1200 , 18.1028
0.1400 , 18.6361
0.1600 , 19.1248
0.1800 , 19.5358
0.2000 , 19.8890
0.2200 , 20.1993
0.2400 , 20.4965
0.2600 , 20.7808
0.2800 , 21.0376
0.3000 , 21.2844
0.3200 , 21.5348
0.3400 , 21.7448
0.3600 , 21.9264
0.3800 , 22.0754
0.4000 , 22.1790
0.4200 , 22.2736
0.4400 , 22.3623
0.4600 , 22.4173
0.4800 , 22.4620
0.5000 , 22.5383
0.5200 , 22.6389
0.5400 , 22.7224
0.5600 , 22.7976
0.5800 , 22.8894
0.6000 , 23.0083
0.6200 , 23.1286
0.6400 , 23.2156
0.6600 , 23.2180
0.6800 , 23.1580
0.7000 , 23.1069
0.7200 , 23.0825
0.7400 , 23.0925
0.7600 , 23.1269
0.7800 , 23.1747
0.8000 , 23.2277
0.8200 , 23.2858
0.8400 , 23.3450
0.8600 , 23.4091
0.8800 , 23.5024
0.9000 , 23.6676
0.9458 , 24.2065
0.9658 , 27.2959
0.0642 , 16.3917
0.0532 , 15.7934
0.0402 , 15.1950
0.0302 , 14.5470
0.0163 , 13.6496
0.0073 , 12.3540
0.0022 , 9.0661
0.0043 , 10.9591
