D3055011,
X,Y
0.0400 , 4.2065
0.0600 , 4.2974
0.0800 , 4.3788
0.1000 , 4.4450
0.1200 , 4.4961
0.1400 , 4.5412
0.1600 , 4.5852
0.1800 , 4.6332
0.2000 , 4.6856
0.2200 , 4.7361
0.2400 , 4.7818
0.2800 , 4.8524
0.3000 , 4.8923
0.3400 , 4.9648
0.3600 , 4.9860
0.3800 , 5.0032
0.4000 , 5.0179
0.4200 , 5.0309
0.4400 , 5.0542
0.4600 , 5.0980
0.4800 , 5.1502
0.5000 , 5.2025
0.5400 , 5.2051
0.5600 , 5.1947
0.6000 , 5.1955
0.6600 , 5.2148
0.7000 , 5.2101
0.7400 , 5.2164
0.8000 , 5.2164
0.8400 , 5.2907
0.9762 , 6.0760
0.9284 , 5.5257
0.8956 , 5.3248
0.6177 , 5.0619
