CZ0.65,
X,Y
0.9912 , 582.0194
0.9689 , 582.0194
0.9514 , 579.8064
0.9339 , 579.8064
0.9261 , 578.6999
0.9163 , 577.5934
0.9056 , 577.5934
0.8901 , 576.4869
0.8755 , 576.4869
0.8609 , 576.4869
0.8414 , 575.3804
0.8210 , 574.2739
0.8006 , 574.2739
0.7704 , 570.9544
0.7403 , 570.9544
0.7004 , 569.8479
0.6498 , 568.7414
0.5992 , 566.5284
0.5486 , 563.2089
0.5000 , 558.7828
0.4514 , 552.1438
0.3979 , 541.0788
0.3901 , 539.9723
0.3473 , 525.5878
0.3327 , 520.0553
0.2986 , 504.5643
0.2763 , 494.6058
0.2481 , 480.2213
0.2276 , 466.9433
0.2014 , 452.5588
0.1800 , 440.3873
0.1595 , 427.1093
0.1362 , 410.5118
0.1158 , 397.2337
0.0963 , 381.7427
0.0428 , 333.0567
0.0019 , 244.5367
