CZ0.28,
X,Y
0.9990 , 293.2227
0.9893 , 287.6902
0.9786 , 282.1577
0.9669 , 279.9447
0.9543 , 278.8382
0.9426 , 277.7317
0.9339 , 277.7317
0.9261 , 276.6252
0.9163 , 275.5187
0.9056 , 275.5187
0.8901 , 275.5187
0.8755 , 275.5187
0.8599 , 275.5187
0.8405 , 274.4122
0.8200 , 273.3057
0.8006 , 273.3057
0.7704 , 273.3057
0.7403 , 273.3057
0.6984 , 275.5187
0.6508 , 273.3057
0.5992 , 273.3057
0.5516 , 273.3057
0.5000 , 272.1992
0.4504 , 272.1992
0.3988 , 271.0927
0.3531 , 269.9862
0.3035 , 267.7732
0.2510 , 266.6667
0.2053 , 263.3472
0.1858 , 262.2407
0.1644 , 260.0277
0.1381 , 255.6017
0.0924 , 246.7497
0.0584 , 235.6846
0.0360 , 226.8326
0.0195 , 215.7676
0.0097 , 203.5961
