Commercial,
X,Y
0.9981 , 303.1812
0.9854 , 298.7552
0.9757 , 295.4357
0.9572 , 291.0097
0.9475 , 289.9032
0.9154 , 286.5837
0.9047 , 285.4772
0.8609 , 283.2642
0.7996 , 281.0512
0.7704 , 279.9447
0.6984 , 274.4122
0.5992 , 272.1992
0.5506 , 268.8797
0.5000 , 266.6667
0.4494 , 264.4537
0.3998 , 263.3472
0.3492 , 261.1342
0.3016 , 257.8147
0.2500 , 255.6017
0.2023 , 252.2822
0.1839 , 251.1757
0.1625 , 250.0692
0.1411 , 247.8562
0.0739 , 240.1107
0.0302 , 226.8326
0.0126 , 212.4481
0.0039 , 196.9571
0.0010 , 183.6791
0.0000 , 168.1881
0.0010 , 151.5906
-0.0010 , 134.9931
0.0000 , 119.5021
0.0000 , 101.7981
0.0000 , 85.2006
0.0000 , 67.4965
0.0000 , 50.8990
0.0000 , 34.3015
0.0000 , 15.4910
