Z0.15,
X,Y
0.1758 , 153.1433
0.3008 , 156.5312
0.3496 , 157.4459
0.3994 , 157.9059
0.4495 , 158.1791
0.4995 , 158.6305
0.5497 , 159.2933
0.5998 , 159.2901
0.6497 , 159.2720
0.6997 , 159.7862
0.7393 , 159.7307
0.7697 , 160.2399
0.8999 , 160.8912
0.1103 , 149.5521
0.1416 , 150.7375
0.1628 , 151.9113
0.1992 , 151.9531
0.2527 , 154.3135
0.8012 , 159.5416
0.8174 , 160.7096
0.8386 , 160.7340
0.8618 , 161.9101
0.8760 , 163.0758
0.8891 , 161.9415
0.9164 , 159.6740
0.9396 , 159.7007
0.9578 , 162.0204
0.9790 , 162.0448
0.9921 , 163.2093
