CZ0.15,
X,Y
0.9903 , 190.3181
0.9767 , 189.2116
0.9650 , 189.2116
0.9533 , 189.2116
0.9416 , 189.2116
0.9319 , 189.2116
0.9105 , 188.1051
0.8794 , 188.1051
0.8589 , 188.1051
0.8395 , 188.1051
0.8200 , 188.1051
0.7899 , 189.2116
0.7588 , 189.2116
0.7198 , 188.1051
0.6693 , 189.2116
0.6196 , 189.2116
0.5506 , 189.2116
0.5000 , 189.2116
0.4504 , 189.2116
0.4008 , 189.2116
0.3512 , 188.1051
0.3006 , 188.1051
0.2500 , 186.9986
0.2014 , 186.9986
0.1829 , 185.8921
0.1625 , 185.8921
0.1469 , 184.7856
0.0982 , 182.5726
0.0010 , 132.7801
