Commercial,
X,Y
0.0011 , 116.3571
0.0297 , 226.3550
0.0739 , 239.5403
0.2498 , 255.9571
0.3016 , 258.6471
0.3503 , 260.2619
0.3996 , 263.6140
0.4497 , 265.5176
0.4999 , 267.2065
0.5500 , 268.9316
0.6000 , 271.1518
0.6990 , 275.5708
0.7697 , 278.7234
0.8003 , 280.2003
0.8601 , 282.8284
0.2013 , 251.9555
0.1842 , 251.9358
0.1629 , 249.6126
0.1407 , 248.4376
0.0134 , 211.5097
0.0033 , 198.8543
0.0002 , 185.0577
0.0002 , 167.8163
0.0002 , 150.5749
0.0002 , 134.4830
0.0011 , 100.0013
0.0011 , 82.7599
0.0001 , 66.6668
0.0001 , 51.7242
0.0000 , 36.7817
0.0020 , 16.0943
0.9034 , 287.2453
0.9165 , 287.2604
0.9448 , 290.7412
0.9579 , 293.0551
0.9721 , 294.2208
0.9842 , 299.9819
0.9984 , 304.5958
