Z0.40,
X,Y
0.0266 , 244.8581
0.0559 , 272.4780
0.1044 , 298.9706
0.3065 , 333.6856
0.3560 , 337.1908
0.3994 , 338.3901
0.4509 , 339.5988
0.4994 , 341.9534
0.5519 , 343.1632
0.5994 , 343.2177
0.6489 , 344.4240
0.6994 , 345.6315
0.7408 , 346.8286
0.8206 , 349.2191
0.8398 , 348.0918
0.8600 , 349.2644
0.8752 , 349.2818
0.8893 , 349.2981
0.9045 , 349.3155
0.9146 , 349.3271
0.9247 , 350.4881
0.9328 , 350.4974
0.9408 , 350.5067
0.9560 , 351.6736
0.9722 , 350.5427
0.9903 , 351.7130
0.8014 , 346.8982
0.7701 , 348.0117
0.2509 , 331.3229
0.2065 , 324.3753
0.1842 , 322.0509
0.1640 , 317.4299
0.1378 , 309.3538
0.0781 , 285.1473
0.0397 , 260.9652
0.0165 , 232.2028
