CZ0.53,
X,Y
0.9903 , 398.3402
0.9796 , 399.4467
0.9689 , 398.3402
0.9591 , 398.3402
0.9465 , 397.2337
0.9339 , 396.1272
0.9261 , 396.1272
0.9163 , 396.1272
0.9047 , 395.0207
0.8901 , 395.0207
0.8755 , 395.0207
0.8609 , 395.0207
0.8395 , 395.0207
0.8191 , 395.0207
0.7986 , 393.9142
0.7695 , 392.8077
0.7393 , 392.8077
0.6994 , 392.8077
0.6488 , 392.8077
0.5992 , 391.7012
0.5496 , 390.5947
0.4990 , 388.3817
0.4669 , 388.3817
0.4154 , 386.1687
0.3638 , 382.8492
0.3093 , 378.4232
0.2500 , 368.4647
0.2053 , 358.5062
0.1829 , 351.8672
0.1625 , 344.1217
0.1401 , 337.4827
0.1167 , 326.4177
0.0875 , 312.0332
0.0642 , 297.6487
0.0058 , 226.8326
