Z0.28,
X,Y
0.1155 , 275.9948
0.1620 , 284.0942
0.1812 , 286.4151
0.2024 , 289.8878
0.2499 , 293.3906
0.3044 , 294.6028
0.3984 , 299.3085
0.4509 , 301.6677
0.5004 , 301.7246
0.5499 , 304.0803
0.6004 , 305.2878
0.6499 , 304.1953
0.6994 , 305.4016
0.7701 , 305.4829
0.8600 , 307.8850
0.8751 , 306.7530
0.8903 , 306.7704
0.9044 , 306.7867
0.9226 , 307.9570
0.9297 , 306.8157
0.9660 , 310.3058
0.9913 , 312.6337
0.0316 , 239.1168
0.1428 , 281.7733
0.3549 , 298.1091
0.9438 , 309.1308
0.9145 , 307.9477
0.8398 , 307.8618
0.8196 , 306.6892
0.8004 , 306.6671
0.7398 , 306.5974
