Z0.40,
X,Y
0.0195 , 229.9075
0.0266 , 244.8581
0.0427 , 258.6698
0.0559 , 272.4780
0.0771 , 283.9967
0.1044 , 298.9706
0.1367 , 307.0537
0.1661 , 315.1334
0.1842 , 322.0509
0.2065 , 323.2258
0.2519 , 327.8758
0.3065 , 333.6856
0.3560 , 337.1908
0.3994 , 338.3901
0.4509 , 339.5988
0.4994 , 341.9534
0.5519 , 343.1632
0.5994 , 343.2177
0.6489 , 344.4240
0.6994 , 345.6315
0.7408 , 346.8286
0.7691 , 346.8611
0.7994 , 344.5970
0.8206 , 349.2191
0.8398 , 348.0918
0.8600 , 349.2644
0.8752 , 349.2818
0.8903 , 349.2992
0.9045 , 348.1661
0.9156 , 350.4777
0.9398 , 350.5056
0.9560 , 350.5241
0.9742 , 350.5450
0.9924 , 349.4165
