Z0.15,
X,Y
0.3008 , 156.5312
0.3496 , 157.4459
0.3994 , 157.9059
0.4495 , 158.1791
0.4995 , 158.6305
0.5497 , 159.2933
0.5998 , 159.2901
0.6497 , 159.2720
0.6997 , 159.7862
0.7393 , 159.7307
0.7697 , 160.2399
0.8012 , 159.5416
0.8174 , 160.7096
0.8386 , 160.7340
0.8891 , 161.9415
0.9578 , 162.0204
0.9790 , 162.0448
0.9921 , 163.2093
0.2497 , 155.4594
0.2002 , 154.2531
0.1820 , 154.2322
0.1608 , 153.0584
0.1436 , 151.8892
0.1133 , 150.7050
0.8598 , 160.7584
0.8750 , 161.9252
0.9053 , 160.8106
0.9184 , 161.9752
0.9295 , 163.1374
0.9426 , 162.0030
0.9679 , 162.0320
