Z0.65,
X,Y
0.0084 , 254.0326
0.0509 , 346.0356
0.0621 , 360.9909
0.0762 , 374.8003
0.0924 , 388.6120
0.1096 , 403.5743
0.1268 , 419.6860
0.1409 , 428.8976
0.1571 , 443.8588
0.1794 , 459.9763
0.1996 , 473.7926
0.2208 , 487.6101
0.2421 , 504.8759
0.2522 , 511.7841
0.2784 , 525.6074
0.2976 , 537.1237
0.3259 , 553.2482
0.3492 , 563.6198
0.3836 , 575.1535
0.4017 , 584.3698
0.4513 , 597.0704
0.5018 , 607.4733
0.5503 , 613.2762
0.6018 , 617.9331
0.6503 , 621.4371
0.7028 , 624.9458
0.7402 , 627.2876
0.7725 , 630.7730
0.8008 , 631.9549
0.8230 , 633.1299
0.8412 , 633.1508
0.8634 , 634.3258
0.8755 , 634.3397
0.8917 , 634.3583
0.9038 , 636.6711
0.9139 , 636.6827
0.9261 , 636.6966
0.9463 , 639.0187
0.9675 , 640.1925
0.9907 , 640.2192
