HN800,
X,Y
0.9807 , 387.5758
0.9628 , 380.6818
0.9486 , 377.7273
0.9283 , 372.3106
0.9134 , 373.7879
0.8962 , 368.8636
0.8801 , 369.8485
0.8611 , 366.4015
0.8468 , 367.3864
0.8283 , 364.4318
0.8129 , 365.4167
0.7950 , 363.4470
0.7801 , 364.4318
0.7617 , 361.4773
0.7456 , 361.9697
0.7283 , 359.5076
0.7129 , 360.4924
0.6944 , 358.5227
0.6783 , 359.5076
0.6617 , 356.5530
0.6450 , 358.0303
0.6271 , 355.5682
0.6111 , 355.5682
0.5938 , 355.0758
0.5771 , 355.0758
0.5599 , 353.5985
0.5438 , 354.5833
0.5272 , 351.6288
0.5111 , 353.1061
0.4926 , 351.1364
0.4771 , 352.6136
0.4587 , 350.1515
0.4438 , 350.1515
0.4254 , 348.6742
0.4117 , 349.1667
0.3926 , 347.1970
0.3772 , 347.1970
0.3581 , 346.7045
0.3432 , 345.2273
0.3248 , 344.2424
0.3087 , 344.2424
0.2914 , 342.2727
0.2760 , 342.2727
0.2581 , 341.2879
0.2420 , 340.3030
0.2242 , 337.8409
0.2087 , 338.3333
0.1909 , 335.3788
0.1754 , 335.3788
0.1581 , 331.4394
0.1420 , 331.4394
0.1236 , 327.5000
0.1087 , 326.0227
0.0909 , 321.5909
0.0564 , 311.7424
0.0242 , 290.5682
