PN800,
X,Y
0.9735 , 322.6263
0.9381 , 321.4141
0.9055 , 319.3939
0.8723 , 318.5859
0.8369 , 317.3737
0.8043 , 316.5657
0.7700 , 315.7576
0.7369 , 315.3535
0.7043 , 314.9495
0.6700 , 314.5455
0.6363 , 314.1414
0.6025 , 313.3333
0.5694 , 312.5253
0.5368 , 311.7172
0.5019 , 310.5051
0.4682 , 309.6970
0.4339 , 309.6970
0.4019 , 308.8889
0.3671 , 308.0808
0.3333 , 307.2727
0.3002 , 307.2727
0.2664 , 305.6566
0.2333 , 304.0404
0.2001 , 302.4242
0.1658 , 301.2121
0.1327 , 299.1919
0.0984 , 295.9596
0.0663 , 291.9192
0.0315 , 281.8182
0.0072 , 259.1919
