SH800,
X,Y
-0.0007 , 16.5844
0.0001 , 9.0940
0.0037 , 18.9404
-0.0005 , 11.2229
0.0429 , 25.1482
0.0727 , 26.9329
0.0974 , 27.8857
0.1292 , 28.7693
0.1556 , 29.2974
0.2067 , 30.0258
0.2626 , 30.5477
0.4009 , 31.2835
0.5000 , 31.4822
0.5346 , 31.6502
0.5991 , 31.6679
0.7996 , 31.9523
0.8365 , 32.0885
0.8986 , 32.1525
0.7001 , 31.7932
0.6861 , 31.8848
0.9745 , 32.5720
0.9499 , 32.3887
0.9376 , 32.3887
0.3492 , 31.0602
0.3155 , 30.8770
0.3032 , 30.7853
0.0485 , 25.7461
0.0304 , 24.2801
0.0189 , 23.1348
0.0090 , 21.4398
0.0074 , 20.8901
0.0049 , 20.1113
0.0008 , 18.2330
0.0000 , 13.5144
