SC700P,
X,Y
0.0006 , 6.3935
-0.0002 , 4.2829
-0.0001 , 2.0642
0.0746 , 8.3293
0.1006 , 8.4659
0.1257 , 8.5266
0.1509 , 8.5529
0.2004 , 8.5259
0.2508 , 8.6699
0.3003 , 8.6059
0.3506 , 8.5803
0.4025 , 8.7883
0.5000 , 8.7020
0.5307 , 8.6699
0.6195 , 8.7290
0.6808 , 8.6699
0.7186 , 8.7087
0.8216 , 8.7809
0.9207 , 8.7730
0.9458 , 8.6930
0.9730 , 8.7829
0.0559 , 8.3377
0.0444 , 8.2919
0.0230 , 7.9254
0.0312 , 8.2919
0.3804 , 8.7958
0.8307 , 8.7958
0.9318 , 8.7958
