SC800,
X,Y
0.1029 , 16.9696
0.2531 , 17.4776
0.3506 , 17.6676
0.6007 , 17.8542
0.7202 , 17.8204
0.8192 , 17.8207
0.9207 , 17.8665
0.9778 , 17.8665
0.1545 , 17.1793
0.1282 , 17.0877
0.0772 , 16.7670
0.0546 , 16.5151
0.0435 , 16.3089
0.0283 , 16.0569
0.0181 , 15.7592
0.0082 , 15.1178
0.0004 , 13.4457
0.0016 , 14.3390
-0.0008 , 11.2467
0.9528 , 17.8665
