N2,
X,Y
0.0200 , 4.7461
0.0400 , 4.8328
0.0600 , 4.9168
0.0800 , 5.0031
0.1000 , 5.0711
0.1200 , 5.1197
0.1400 , 5.1580
0.1600 , 5.1933
0.1800 , 5.2288
0.2000 , 5.2554
0.2200 , 5.2759
0.2400 , 5.2940
0.2600 , 5.3088
0.2800 , 5.3228
0.3000 , 5.3375
0.3200 , 5.3505
0.3400 , 5.3638
0.3600 , 5.3778
0.3800 , 5.3892
0.4000 , 5.3982
0.4200 , 5.4040
0.4400 , 5.4129
0.4600 , 5.4248
0.4800 , 5.4366
0.5000 , 5.4459
0.5200 , 5.4532
0.5400 , 5.4627
0.5600 , 5.4743
0.5800 , 5.4909
0.6000 , 5.5063
0.6200 , 5.5166
0.6400 , 5.5225
0.6600 , 5.5244
0.6800 , 5.5262
0.7000 , 5.5308
0.7200 , 5.5353
0.7400 , 5.5364
0.7600 , 5.5360
0.7800 , 5.5372
0.8000 , 5.5449
0.8200 , 5.5575
0.8400 , 5.5696
0.8600 , 5.5768
0.8800 , 5.5814
0.9000 , 5.5869
0.9442 , 5.5904
0.9289 , 5.5803
