D1,
X,Y
0.0400 , 5.3115
0.0600 , 5.4148
0.0800 , 5.4981
0.1000 , 5.5702
0.1200 , 5.6118
0.1400 , 5.6379
0.1600 , 5.6617
0.1800 , 5.6818
0.2000 , 5.6989
0.2200 , 5.7161
0.2400 , 5.7341
0.2600 , 5.7507
0.2800 , 5.7643
0.3000 , 5.7777
0.3200 , 5.7942
0.3400 , 5.8099
0.3600 , 5.8215
0.3800 , 5.8287
0.4000 , 5.8330
0.4200 , 5.8371
0.4400 , 5.8448
0.4600 , 5.8474
0.4800 , 5.8512
0.5000 , 5.8665
0.5200 , 5.8866
0.5400 , 5.9056
0.5600 , 5.9186
0.5800 , 5.9145
0.6000 , 5.9119
0.6200 , 5.9116
0.6400 , 5.9163
0.6600 , 5.9236
0.6800 , 5.9300
0.7000 , 5.9398
0.7200 , 5.9550
0.7400 , 5.9704
0.7600 , 5.9817
0.7800 , 5.9882
0.8000 , 5.9906
0.8200 , 5.9921
0.8400 , 5.9965
0.8600 , 6.0020
0.8800 , 6.0070
0.9000 , 6.0122
0.9200 , 6.0161
0.0245 , 5.1603
0.0068 , 4.7109
0.0043 , 4.5167
0.0008 , 2.4730
