N1,
X,Y
0.0400 , 4.9619
0.0600 , 5.0509
0.0800 , 5.1355
0.1000 , 5.2008
0.1200 , 5.2416
0.1400 , 5.2660
0.1600 , 5.2860
0.1800 , 5.3138
0.2000 , 5.3458
0.2200 , 5.3713
0.2400 , 5.3877
0.2600 , 5.3973
0.2800 , 5.4059
0.3000 , 5.4163
0.3200 , 5.4294
0.3400 , 5.4454
0.3600 , 5.4642
0.3800 , 5.4847
0.4000 , 5.5026
0.4200 , 5.5117
0.4400 , 5.5146
0.4600 , 5.5200
0.4800 , 5.5272
0.5000 , 5.5331
0.5200 , 5.5433
0.5400 , 5.5602
0.5600 , 5.5785
0.5800 , 5.5907
0.6000 , 5.5929
0.6200 , 5.5923
0.6400 , 5.5944
0.6600 , 5.6016
0.6800 , 5.6112
0.7000 , 5.6181
0.7200 , 5.6235
0.7400 , 5.6298
0.7600 , 5.6392
0.7800 , 5.6509
0.8015 , 5.6429
0.8334 , 5.6528
0.8627 , 5.6525
0.8780 , 5.6523
0.8155 , 5.6428
0.0271 , 4.9048
0.0031 , 4.0569
