R3-600,
X,Y
0.0800 , 245.0040
0.1000 , 257.3037
0.1200 , 266.5186
0.1400 , 276.2970
0.1600 , 285.1351
0.1800 , 293.6258
0.2000 , 302.5066
0.2200 , 311.4473
0.2400 , 320.8150
0.3200 , 354.6317
0.3400 , 360.8545
0.3600 , 367.4983
0.3800 , 374.8952
0.4000 , 382.5630
0.4200 , 390.6020
0.4400 , 398.9128
0.4600 , 407.5588
0.4800 , 416.3113
0.5000 , 425.0255
0.5200 , 433.5455
0.5400 , 442.1727
0.5600 , 451.4595
0.5800 , 460.7236
0.6000 , 469.6720
0.6200 , 479.5023
0.6400 , 489.3264
0.6600 , 499.6828
0.6800 , 511.3043
0.7000 , 522.9513
0.7200 , 534.1111
0.7400 , 546.3887
0.7600 , 559.1738
0.7800 , 572.8629
0.8200 , 606.3315
0.8400 , 625.3802
0.8600 , 645.7096
0.8800 , 666.8392
0.9200 , 714.2959
0.9920 , 816.8728
0.9658 , 773.6856
0.9457 , 745.2482
0.8975 , 682.0580
0.7970 , 582.0322
0.3055 , 348.5581
0.2734 , 333.8357
0.2553 , 326.4767
0.0492 , 224.4540
0.0281 , 205.5039
0.0141 , 183.3844
0.0080 , 167.5805
0.0040 , 128.5860
0.0040 , 68.5070
0.0020 , 5.2680
