R1-500,
X,Y
0.0800 , 336.4040
0.1000 , 351.5666
0.1200 , 363.2311
0.1400 , 374.6606
0.1600 , 385.1298
0.1800 , 394.4016
0.2000 , 403.2222
0.2200 , 411.5757
0.2400 , 418.9021
0.2600 , 425.1971
0.2800 , 430.7590
0.3000 , 435.8763
0.3200 , 440.7635
0.3400 , 445.5344
0.3600 , 450.1801
0.3800 , 454.8267
0.4000 , 459.0316
0.4200 , 462.4382
0.4400 , 465.1884
0.4600 , 467.4405
0.4800 , 469.3769
0.5000 , 471.1403
0.5200 , 472.8668
0.5400 , 474.5955
0.5600 , 475.9967
0.5800 , 476.9276
0.6000 , 477.7952
0.6200 , 478.8533
0.6400 , 480.0066
0.6600 , 481.0935
0.6800 , 481.9536
0.7000 , 482.6087
0.7200 , 483.4758
0.7400 , 484.7271
0.7600 , 485.7845
0.7800 , 486.2990
0.8000 , 486.7406
0.8200 , 487.4919
0.8400 , 488.4506
0.8600 , 489.4666
0.8800 , 490.4624
0.9000 , 491.4175
0.9200 , 492.4483
0.9400 , 493.5996
0.9600 , 494.8397
0.9807 , 496.6252
0.9959 , 499.8224
0.0041 , 142.8064
0.0041 , 3.1972
0.0568 , 315.4529
0.0467 , 301.5986
0.0264 , 273.8899
0.0172 , 256.8384
0.0112 , 241.9183
0.0071 , 205.6838
