R2-600,
X,Y
0.1000 , 307.6333
0.1200 , 318.8540
0.1400 , 330.6248
0.1600 , 342.0771
0.1800 , 352.4584
0.2000 , 362.3654
0.2200 , 372.2480
0.2400 , 382.3643
0.2600 , 392.8946
0.2800 , 403.2897
0.3000 , 413.4935
0.3200 , 424.0597
0.3400 , 434.2205
0.3600 , 443.3602
0.3800 , 451.8833
0.4000 , 459.0704
0.4200 , 466.5317
0.4400 , 475.1346
0.4600 , 483.9485
0.4800 , 492.0180
0.5000 , 499.6309
0.5200 , 507.4353
0.5400 , 515.5617
0.5600 , 523.7429
0.5800 , 532.4114
0.6000 , 539.9835
0.6200 , 547.5801
0.6400 , 555.9488
0.6600 , 564.4956
0.6800 , 573.0195
0.7000 , 581.5869
0.7200 , 589.9613
0.7400 , 598.6161
0.7600 , 607.7387
0.7800 , 616.5350
0.8000 , 624.3042
0.8200 , 631.4609
0.8400 , 638.7786
0.8600 , 646.6072
0.8800 , 654.6279
0.9000 , 662.4844
0.9200 , 669.4323
0.9400 , 675.8213
0.9600 , 681.9460
0.9757 , 687.3348
0.9949 , 692.6300
0.0781 , 289.6180
0.0517 , 267.3204
0.0304 , 241.8281
0.0183 , 221.6417
0.0101 , 201.4510
0.0071 , 172.7499
0.0030 , 115.3456
0.0020 , 6.9081
