R1-600,
X,Y
0.0800 , 312.6527
0.1000 , 325.6862
0.1200 , 335.0784
0.1400 , 344.4260
0.1600 , 352.7808
0.1800 , 359.9359
0.2000 , 366.9683
0.2200 , 373.9330
0.2400 , 380.6212
0.2600 , 386.7595
0.2800 , 391.4003
0.3000 , 394.9340
0.3200 , 398.1254
0.3400 , 401.5197
0.3600 , 404.9536
0.3800 , 408.0147
0.4000 , 410.4357
0.4200 , 412.1184
0.4400 , 413.8497
0.4600 , 416.0150
0.4800 , 418.0544
0.5000 , 419.4961
0.5200 , 420.6392
0.5400 , 421.9066
0.5600 , 423.0234
0.5800 , 423.7276
0.6000 , 424.1264
0.6200 , 424.4985
0.6400 , 425.3673
0.6600 , 426.7271
0.6800 , 428.0636
0.7000 , 429.0142
0.7200 , 429.6416
0.7400 , 430.3507
0.7600 , 430.8891
0.7800 , 431.0984
0.8000 , 431.4933
0.8200 , 432.1001
0.8400 , 432.7743
0.8600 , 433.4696
0.8800 , 434.1372
0.9000 , 434.9185
0.9200 , 435.9184
0.9400 , 437.0805
0.9600 , 438.3699
0.9757 , 440.1421
0.9919 , 443.3393
0.0020 , 3.1972
0.0041 , 157.7265
0.0061 , 202.4867
0.0487 , 284.5471
0.0314 , 265.3641
0.0193 , 245.1155
0.0132 , 229.1297
