R2-450,
X,Y
0.0800 , 350.7719
0.1000 , 365.1491
0.1200 , 376.4757
0.1400 , 387.4291
0.1600 , 397.5022
0.1800 , 406.4831
0.2000 , 414.7649
0.2200 , 422.7360
0.4400 , 478.4023
0.4600 , 481.0087
0.4800 , 483.6978
0.5000 , 486.7563
0.5200 , 489.8233
0.5400 , 493.2234
0.5600 , 496.8129
0.5800 , 500.1143
0.6000 , 503.0367
0.6200 , 505.7516
0.6400 , 508.9663
0.6600 , 512.6726
0.6800 , 516.1402
0.7000 , 519.0263
0.7200 , 521.4502
0.7400 , 524.0340
0.7600 , 526.9340
0.7800 , 530.2897
0.8000 , 532.4705
0.8200 , 533.2492
0.8400 , 534.1183
0.8600 , 535.6817
0.8800 , 537.7648
0.9000 , 540.4048
0.9200 , 542.9392
0.9400 , 545.1905
0.9600 , 547.4856
0.9777 , 549.1267
0.9959 , 551.2335
0.4249 , 474.2326
0.4047 , 470.0017
0.3783 , 465.7772
0.3580 , 459.4201
0.3316 , 454.1325
0.3124 , 450.9636
0.2972 , 444.6010
0.2759 , 439.3081
0.2475 , 431.8964
0.0588 , 332.1634
0.0446 , 319.4210
0.0264 , 290.7361
0.0142 , 271.6128
0.0091 , 255.6714
0.0061 , 224.8440
0.0020 , 164.2503
