R3-500,
X,Y
0.0400 , 175.7616
0.0600 , 188.2776
0.0800 , 195.7150
0.1000 , 204.0907
0.1200 , 209.6101
0.1400 , 215.9576
0.1600 , 222.1856
0.1800 , 228.5451
0.2000 , 233.8704
0.2200 , 239.0756
0.2400 , 246.1175
0.2600 , 253.0594
0.2800 , 258.6468
0.3000 , 263.3330
0.3200 , 268.7367
0.3400 , 272.5805
0.3600 , 275.0932
0.3800 , 278.8459
0.4000 , 284.2198
0.4200 , 288.3023
0.4400 , 291.8157
0.4600 , 296.1800
0.4800 , 300.7613
0.5000 , 304.8402
0.5200 , 308.7350
0.5400 , 313.0917
0.5600 , 317.1176
0.5800 , 321.8270
0.6000 , 327.6586
0.6200 , 331.1183
0.6400 , 334.4636
0.6600 , 338.7224
0.6800 , 343.7991
0.7000 , 351.2356
0.7200 , 356.6548
0.7400 , 362.0066
0.7600 , 369.2554
0.7800 , 376.9866
0.8000 , 384.7797
0.8200 , 395.9131
0.8400 , 409.5700
0.8600 , 421.8010
0.8800 , 435.7723
0.8960 , 446.3400
0.9200 , 488.2657
0.9400 , 533.1171
0.9650 , 616.1734
0.9840 , 716.5109
0.9899 , 761.0119
0.0050 , 99.0724
0.0090 , 142.2830
0.0271 , 165.4523
0.0151 , 150.7087
