R2-500,
X,Y
0.0400 , 272.1913
0.0600 , 292.3924
0.0800 , 307.5103
0.1000 , 320.9547
0.1200 , 334.0630
0.1400 , 347.4641
0.1600 , 361.1173
0.1800 , 373.1480
0.2000 , 383.4079
0.2200 , 396.1873
0.3400 , 463.2040
0.3600 , 471.9057
0.3800 , 483.4898
0.4000 , 492.7348
0.4200 , 502.6995
0.4400 , 513.2747
0.4600 , 523.0219
0.4800 , 532.8808
0.5000 , 540.4569
0.5200 , 548.8064
0.5400 , 558.8546
0.5600 , 568.1103
0.5800 , 577.8719
0.6000 , 585.2362
0.6200 , 594.2306
0.6400 , 604.6948
0.6600 , 613.7651
0.6800 , 622.4189
0.7000 , 629.4696
0.7200 , 639.5587
0.7400 , 650.2871
0.7600 , 659.7506
0.7800 , 669.9219
0.8000 , 677.6029
0.8200 , 685.8557
0.8400 , 695.9857
0.8600 , 705.1065
0.8800 , 714.3236
0.9000 , 722.6357
0.9200 , 731.6375
0.9400 , 738.5798
0.9600 , 743.4167
0.9800 , 749.0781
0.3266 , 455.2010
0.3063 , 441.4020
0.2982 , 437.1581
0.2789 , 427.6105
0.2677 , 421.2436
0.2515 , 413.8190
0.0254 , 248.2122
0.0152 , 225.8974
0.0091 , 205.7046
0.0041 , 156.8063
0.0010 , 83.4541
0.0020 , 3.7188
