R2-400,
X,Y
0.1000 , 300.0815
0.1200 , 309.7047
0.1400 , 319.6585
0.1600 , 328.2315
0.1800 , 336.0676
0.2000 , 344.1139
0.2200 , 351.3973
0.2400 , 358.0662
0.2600 , 364.4039
0.2800 , 370.5178
0.3000 , 376.7851
0.3200 , 382.6228
0.3400 , 387.5635
0.3600 , 391.3800
0.3800 , 394.7499
0.4000 , 397.8439
0.4200 , 400.7067
0.4400 , 403.6719
0.4600 , 406.6239
0.4800 , 409.1851
0.5000 , 411.2490
0.5200 , 413.3083
0.5400 , 415.5591
0.5600 , 417.7781
0.5800 , 419.9185
0.6000 , 421.0671
0.6200 , 422.0096
0.6400 , 423.7120
0.6600 , 426.4945
0.6800 , 429.7423
0.7000 , 433.4437
0.7200 , 436.4799
0.7400 , 438.6303
0.7600 , 440.0550
0.7800 , 440.8902
0.8000 , 442.0773
0.8200 , 443.6820
0.8400 , 445.2297
0.8600 , 446.3547
0.8800 , 447.0959
0.9000 , 448.3457
0.9200 , 450.1347
0.9400 , 452.2348
0.9600 , 454.5723
0.9800 , 456.1638
0.0680 , 282.1869
0.0467 , 263.0733
0.0233 , 239.7094
0.0051 , 189.7621
0.0030 , 140.8606
