R1-450,
X,Y
0.0800 , 319.7765
0.1000 , 333.7017
0.1200 , 343.6022
0.1400 , 353.4267
0.1600 , 362.2261
0.1800 , 369.3723
0.2000 , 374.5601
0.2200 , 379.3329
0.2400 , 383.2815
0.2600 , 386.5554
0.2800 , 389.7604
0.3000 , 393.8358
0.3200 , 397.4482
0.3400 , 400.5543
0.3600 , 403.2080
0.3800 , 405.5589
0.4000 , 407.8474
0.4200 , 409.8938
0.4400 , 411.5757
0.4600 , 413.1325
0.4800 , 414.6582
0.5000 , 416.2267
0.5200 , 417.6380
0.5400 , 418.7410
0.5600 , 420.0300
0.5800 , 421.8560
0.6000 , 423.8312
0.6200 , 425.5008
0.6400 , 426.6589
0.6600 , 427.4413
0.6800 , 428.4643
0.7000 , 430.1322
0.7200 , 430.7968
0.7400 , 431.3844
0.7600 , 431.9952
0.7800 , 432.6615
0.8000 , 434.8622
0.8200 , 436.7737
0.8400 , 437.3788
0.8600 , 438.1111
0.8800 , 439.8239
0.9000 , 442.0820
0.9200 , 444.3708
0.9400 , 447.2840
0.9600 , 450.0544
0.0030 , 126.8206
0.0071 , 193.9609
0.0101 , 223.8011
0.0183 , 238.7211
0.0314 , 264.2984
0.0467 , 288.8099
