R3-450,
X,Y
0.0800 , 290.7856
0.1000 , 305.7670
0.1200 , 317.4212
0.1400 , 329.5316
0.1600 , 341.7281
0.1800 , 353.0080
0.2000 , 363.5724
0.2200 , 373.9765
0.2400 , 383.8330
0.2600 , 394.2465
0.2800 , 404.7743
0.3000 , 414.4080
0.3200 , 423.2994
0.3400 , 432.0535
0.3600 , 441.2954
0.3800 , 450.7613
0.4000 , 460.1584
0.4200 , 469.3889
0.4400 , 477.8755
0.4600 , 486.6789
0.4800 , 495.4807
0.5000 , 503.8045
0.5200 , 512.2659
0.5400 , 520.7581
0.5600 , 528.0908
0.5800 , 535.2447
0.6000 , 544.0518
0.6200 , 552.8784
0.6400 , 561.4479
0.6600 , 570.7048
0.6800 , 578.4477
0.7000 , 586.3785
0.7200 , 594.6890
0.7400 , 602.0284
0.7600 , 608.8997
0.7800 , 615.8273
0.8000 , 622.1339
0.8200 , 627.9772
0.8400 , 634.5010
0.8600 , 641.4252
0.8800 , 648.0639
0.9000 , 654.3236
0.9200 , 659.5164
0.9400 , 664.3281
0.9600 , 669.1586
0.0603 , 275.0353
0.0472 , 262.4008
0.0362 , 248.7102
0.0261 , 231.8565
0.0171 , 213.9477
0.0131 , 199.1957
0.0060 , 154.9344
0.0040 , 84.3172
0.9769 , 674.5962
0.9960 , 677.7381
