R1-400,
X,Y
0.3200 , 349.3361
0.3400 , 351.2709
0.3600 , 352.5834
0.3800 , 353.9846
0.4200 , 356.7760
0.4400 , 357.7711
0.4600 , 358.8715
0.5200 , 362.3652
0.5400 , 363.3187
0.5600 , 364.2771
0.6200 , 367.6493
0.6400 , 368.6517
0.6600 , 370.0416
0.6800 , 371.6963
0.7000 , 372.9884
0.7200 , 373.8957
0.7400 , 373.5524
0.7600 , 373.2555
0.7800 , 373.7288
0.8000 , 374.4487
0.8200 , 375.7494
0.8400 , 377.1775
0.8600 , 378.3988
0.8800 , 379.3149
0.9000 , 380.3397
0.9200 , 383.2588
0.9400 , 387.1450
0.9600 , 391.1197
0.2444 , 339.9645
0.1471 , 319.7158
0.1227 , 313.3215
0.0994 , 305.8615
0.0751 , 297.3357
0.0507 , 281.3499
0.0304 , 262.1670
0.0223 , 246.1812
0.0172 , 232.3268
0.0122 , 214.2096
0.0081 , 165.1865
0.2211 , 336.7673
0.1957 , 333.5702
0.1724 , 326.1101
0.2941 , 346.3588
0.2708 , 344.2274
0.3925 , 355.9503
0.4899 , 361.2789
0.5882 , 367.6732
