H-AC,
X,Y
0.0200 , 146.8054
0.0400 , 158.5876
0.0600 , 166.9565
0.0800 , 173.6603
0.1000 , 179.2050
0.1200 , 183.7181
0.1400 , 187.3924
0.1600 , 190.3344
0.1800 , 193.0702
0.2000 , 195.5737
0.2200 , 197.8955
0.2400 , 200.7208
0.2600 , 203.3356
0.2800 , 204.8053
0.3000 , 206.5015
0.3200 , 208.5321
0.3400 , 210.6853
0.3600 , 212.0670
0.3800 , 213.0747
0.4000 , 214.2374
0.4200 , 215.9514
0.4400 , 217.4468
0.4600 , 218.7779
0.4800 , 219.5376
0.5000 , 221.2724
0.5200 , 222.4272
0.5400 , 223.5785
0.5600 , 224.7295
0.5800 , 225.4736
0.6000 , 227.0528
0.6200 , 228.1031
0.6400 , 229.2673
0.6600 , 230.5071
0.6800 , 230.6332
0.7000 , 231.8206
0.7200 , 232.9213
0.7400 , 234.5098
0.7600 , 236.0452
0.7800 , 237.0784
0.8000 , 238.3092
0.8200 , 239.0287
0.8400 , 240.5190
0.8600 , 241.8565
0.8800 , 243.2377
0.9000 , 245.5359
0.9200 , 247.6288
0.9400 , 250.1720
0.9600 , 252.7747
0.9800 , 256.3955
0.9946 , 257.8313
0.0074 , 133.3333
