C-AC-A,
X,Y
0.0400 , 354.3377
0.0600 , 370.5345
0.0800 , 387.4611
0.1000 , 398.2367
0.1200 , 411.0042
0.1400 , 422.1153
0.1600 , 430.4999
0.1800 , 437.2319
0.2000 , 444.5754
0.2200 , 451.4089
0.2400 , 456.8771
0.2600 , 461.3912
0.2800 , 466.6879
0.3000 , 471.4002
0.3200 , 474.5789
0.3400 , 478.7869
0.3600 , 482.2428
0.3800 , 485.0750
0.4000 , 488.8103
0.4200 , 490.9512
0.4400 , 493.8277
0.4600 , 496.7013
0.4800 , 497.0997
0.5000 , 499.3389
0.5200 , 501.4014
0.5400 , 502.7793
0.5600 , 504.8444
0.5800 , 505.7991
0.6000 , 507.7372
0.6200 , 509.3351
0.6400 , 510.4511
0.6600 , 512.2658
0.6800 , 512.6074
0.7000 , 514.4455
0.7200 , 516.1651
0.7400 , 517.1030
0.7600 , 518.8702
0.7800 , 520.0172
0.8000 , 521.7369
0.8200 , 523.4696
0.8400 , 524.7002
0.8600 , 526.6268
0.8800 , 528.8321
0.9000 , 531.7349
0.9200 , 533.7699
0.9400 , 536.2250
0.9600 , 540.2961
0.9800 , 546.2055
0.9963 , 552.6104
0.0329 , 343.7751
0.0221 , 329.3173
0.0137 , 310.8434
0.0065 , 294.7791
0.0053 , 281.9277
0.0017 , 266.6667
0.0029 , 244.1767
0.0028 , 219.2771
0.0040 , 196.7871
0.0015 , 161.4458
0.0015 , 130.9237
-0.0010 , 104.4177
0.0037 , 76.3052
0.0013 , 52.2088
0.0012 , 28.1124
