C-AC-W,
X,Y
0.9915 , 506.8273
0.9748 , 494.7791
0.9557 , 486.7470
0.9127 , 477.1084
0.8651 , 469.8795
0.8198 , 464.2570
0.7673 , 460.2410
0.7184 , 455.4217
0.6672 , 449.7992
0.6171 , 446.5863
0.5706 , 443.3735
0.5182 , 439.3574
0.4645 , 433.7349
0.4156 , 428.1124
0.3524 , 417.6707
0.3107 , 411.2450
0.2833 , 406.4257
0.2547 , 398.3936
0.2260 , 391.9679
0.2034 , 383.9357
0.1771 , 375.9036
0.1533 , 367.0683
0.1247 , 355.0201
0.1020 , 344.5783
0.0757 , 328.5141
0.0519 , 309.2369
0.0387 , 301.2048
0.0304 , 291.5663
0.0208 , 280.3213
0.0136 , 257.0281
0.0040 , 232.9317
0.0016 , 181.5261
0.0015 , 148.5944
