C-AC-W,
X,Y
0.0400 , 301.0705
0.0600 , 314.2745
0.0800 , 328.6594
0.1000 , 340.5251
0.1200 , 351.2679
0.1400 , 360.7937
0.1600 , 369.1402
0.1800 , 374.7653
0.2000 , 381.5055
0.2200 , 388.3184
0.2400 , 392.8010
0.2600 , 397.0120
0.2800 , 402.2435
0.3000 , 407.0145
0.3200 , 411.2264
0.3400 , 415.1140
0.3600 , 418.5436
0.3800 , 421.1389
0.4000 , 423.0987
0.4200 , 426.1214
0.4400 , 430.7657
0.4600 , 433.1161
0.4800 , 433.5842
0.5000 , 434.4125
0.5200 , 435.6189
0.5400 , 437.7256
0.5600 , 439.7487
0.5800 , 441.0721
0.6000 , 442.5020
0.6200 , 443.8801
0.6400 , 445.7607
0.6600 , 447.6273
0.6800 , 449.2458
0.7000 , 450.8114
0.7200 , 452.2519
0.7400 , 454.4620
0.7600 , 456.2449
0.7800 , 458.0016
0.8000 , 459.9216
0.8200 , 461.5160
0.8400 , 465.1857
0.8600 , 468.5272
0.8800 , 470.7736
0.9000 , 474.2059
0.9200 , 478.5304
0.9400 , 482.6116
0.9600 , 488.1690
0.9800 , 498.7686
0.0316 , 289.9598
0.0232 , 281.1245
0.0136 , 258.6345
0.0040 , 232.9317
0.0015 , 179.9197
0.0027 , 147.7912
-0.0010 , 118.0723
0.0014 , 96.3855
0.9939 , 506.8273
