S-AC,
X,Y
0.9922 , 248.9960
0.9743 , 245.7831
0.9528 , 240.9639
0.9063 , 236.9478
0.8622 , 232.9317
0.8121 , 228.9157
0.7621 , 226.5060
0.7144 , 224.0964
0.6631 , 220.8835
0.6131 , 219.2771
0.5630 , 216.0643
0.5106 , 212.8514
0.4617 , 210.4418
0.4104 , 207.2289
0.3544 , 204.0161
0.3115 , 201.6064
0.2841 , 197.5904
0.2578 , 195.1807
0.2316 , 191.9679
0.2054 , 189.5582
0.1780 , 186.3454
0.1517 , 181.5261
0.1279 , 177.5100
0.1017 , 172.6908
0.0754 , 166.2651
0.0504 , 159.0361
0.0408 , 155.0201
0.0206 , 146.9880
