PAC-0.2K2CO3-750-0.5,
X,Y
0.9932 , 107.9495
0.9870 , 104.0755
0.9745 , 100.6824
0.9608 , 98.4983
0.9484 , 97.2826
0.9359 , 96.0669
0.9228 , 95.0928
0.8979 , 94.1130
0.8730 , 93.1332
0.8480 , 92.3953
0.8181 , 91.1712
0.7988 , 90.6780
0.7483 , 89.6858
0.6978 , 88.4517
0.6492 , 87.9443
0.5980 , 86.9518
0.5475 , 86.2016
0.4983 , 85.6939
0.4478 , 84.9436
0.3986 , 84.1940
0.3487 , 83.4440
0.2994 , 82.6944
0.2496 , 81.7025
0.1997 , 80.9526
0.1486 , 79.7182
0.0981 , 78.0002
0.0738 , 76.7788
0.0613 , 76.0469
0.0227 , 72.1573
