PAC-1.5K2CO3-750-0.5,
X,Y
0.9938 , 277.5465
0.9875 , 272.9467
0.9739 , 266.8917
0.9608 , 264.7080
0.9483 , 261.5568
0.9358 , 260.3411
0.9234 , 259.1254
0.8991 , 257.6620
0.8735 , 256.9238
0.8486 , 255.9440
0.8180 , 254.9615
0.7981 , 254.4680
0.7482 , 253.7180
0.6990 , 252.7264
0.6485 , 251.9762
0.5980 , 251.2260
0.5475 , 250.9596
0.4982 , 249.9680
0.4484 , 250.1858
0.3985 , 249.1940
0.3474 , 247.4757
0.3106 , 247.9417
0.2981 , 246.7260
0.2601 , 247.1915
0.2483 , 245.7342
0.1990 , 244.5007
0.1491 , 241.5733
0.0993 , 238.4040
0.0750 , 236.6987
0.0606 , 234.9982
0.0251 , 227.2391
0.0003 , 196.5013
-0.0009 , 190.2104
-0.0015 , 184.6456
-0.0015 , 179.3230
-0.0021 , 173.0324
-0.0027 , 166.7418
-0.0033 , 159.7254
-0.0020 , 150.7744
-0.0019 , 142.5486
-0.0025 , 135.7741
-0.0019 , 128.0325
-0.0006 , 119.8073
-0.0006 , 112.3073
0.0001 , 104.0818
-0.0017 , 96.3390
-0.0023 , 88.3548
-0.0017 , 80.3713
-0.0010 , 72.3877
-0.0010 , 64.4039
-0.0016 , 56.4197
-0.0009 , 48.6781
-0.0021 , 40.2098
-0.0021 , 32.4679
