PAC-0.5KOH-750-0.5,
X,Y
0.9927 , 234.2395
0.9865 , 228.9139
0.9784 , 224.5552
0.9609 , 221.1597
0.9485 , 218.9762
0.9366 , 218.0027
0.9236 , 217.0287
0.8980 , 215.8066
0.8743 , 214.5855
0.8488 , 213.8473
0.8195 , 213.3493
0.7970 , 212.8545
0.7484 , 212.1052
0.6991 , 211.1136
0.6480 , 210.6050
0.5988 , 209.8554
0.5477 , 209.8306
0.4978 , 208.5968
0.4485 , 208.8149
0.3968 , 208.3060
0.3482 , 206.8309
0.2977 , 206.3226
0.2465 , 205.5720
0.1979 , 204.8227
0.1481 , 201.8954
0.0988 , 200.1780
0.0733 , 198.9559
0.0608 , 197.4983
0.0216 , 190.2212
0.0004 , 169.6465
-0.0008 , 162.6298
-0.0008 , 157.3072
-0.0020 , 151.0163
-0.0019 , 143.5163
-0.0013 , 136.0166
-0.0019 , 128.2744
-0.0019 , 120.5325
-0.0018 , 112.3067
-0.0012 , 104.3232
-0.0011 , 96.5812
-0.0017 , 88.8390
-0.0017 , 80.8552
-0.0017 , 72.6294
-0.0022 , 64.6452
-0.0016 , 56.4197
-0.0015 , 48.1939
-0.0009 , 40.6943
-0.0015 , 32.4682
-0.0021 , 24.4840
-0.0014 , 16.2585
-0.0020 , 8.2744
