SG-CN3,
X,Y
0.9944 , 345.1134
0.9895 , 330.3362
0.9810 , 317.2009
0.9712 , 307.8968
0.9480 , 295.8561
0.9241 , 288.1939
0.8988 , 282.9945
0.8742 , 278.6161
0.8503 , 275.3323
0.8201 , 270.9539
0.7983 , 268.4910
0.7484 , 263.5653
0.6992 , 260.0078
0.6500 , 255.9030
0.6008 , 252.3456
0.5502 , 248.2408
0.5004 , 243.3151
0.4491 , 238.9367
0.3999 , 234.8319
0.3528 , 230.1798
0.3359 , 229.0852
0.3001 , 223.8858
0.2846 , 223.0649
0.2481 , 217.8655
0.2010 , 211.0242
0.1820 , 209.1087
0.1609 , 205.8249
0.1405 , 203.0884
0.1209 , 198.9836
0.0998 , 196.2471
0.0787 , 192.1423
0.0583 , 188.0375
0.0295 , 178.7334
0.0091 , 164.7772
