SG-CN2,
X,Y
0.9937 , 499.7263
0.9895 , 473.1822
0.9810 , 448.5536
0.9719 , 432.9554
0.9487 , 413.5262
0.9241 , 402.5801
0.9002 , 396.2862
0.8742 , 391.0868
0.8496 , 386.7084
0.8208 , 382.3299
0.7997 , 379.0461
0.7498 , 373.5731
0.7006 , 368.6474
0.6493 , 364.2690
0.6001 , 360.9851
0.5495 , 357.4277
0.4996 , 354.1439
0.4483 , 351.9547
0.3992 , 347.3026
0.3514 , 342.9242
0.3338 , 341.0086
0.3022 , 337.9984
0.2488 , 331.4308
0.2003 , 325.4105
0.1820 , 322.6740
0.1609 , 319.1165
0.1413 , 315.5590
0.1209 , 312.2752
0.1005 , 307.8968
0.0794 , 302.4238
0.0611 , 296.4034
0.0302 , 281.6263
0.0091 , 257.8186
