SG-C,
X,Y
0.9930 , 309.2651
0.9909 , 294.2142
0.9796 , 278.3425
0.9705 , 267.6701
0.9480 , 255.0821
0.9241 , 249.0618
0.8995 , 244.9570
0.8735 , 242.2205
0.8496 , 240.5786
0.8194 , 238.9367
0.7990 , 237.5684
0.7491 , 235.9265
0.6985 , 234.2846
0.6486 , 232.6427
0.5994 , 231.2744
0.5481 , 229.6325
0.4982 , 228.2643
0.4491 , 226.3487
0.3970 , 224.1595
0.3514 , 221.9703
0.3324 , 220.8757
0.3001 , 218.9601
0.2488 , 215.9500
0.2003 , 211.8452
0.1806 , 209.9296
0.1609 , 208.0141
0.1398 , 206.6458
0.1202 , 203.6357
0.0998 , 201.4464
0.0801 , 198.9836
0.0597 , 195.4261
0.0302 , 188.3112
0.0084 , 176.8178
