ML_64%_bo,
X,Y
0.9985 , 547.0663
0.9985 , 536.4529
0.9985 , 525.8396
0.9977 , 516.6739
0.9977 , 506.0605
0.9945 , 496.8959
0.9737 , 489.6696
0.9124 , 485.8398
0.8463 , 482.4947
0.5474 , 472.9903
0.4753 , 470.1306
0.4060 , 467.2694
0.3391 , 463.9247
0.2774 , 460.0951
0.2237 , 455.2967
0.1804 , 449.5285
0.1476 , 442.3080
0.1219 , 434.6015
0.1023 , 425.9273
0.0855 , 416.7693
0.0711 , 407.1278
0.0591 , 397.9675
0.0483 , 388.3242
0.0386 , 378.1979
0.0302 , 368.0710
0.0226 , 358.4261
0.0158 , 348.7809
0.0102 , 338.1702
0.0066 , 327.5586
0.0022 , 316.9473
-0.0014 , 306.8181
-0.0042 , 295.7237
-0.0058 , 283.6638
